# x		y		pair notation
0.569608	0.65637	(0.569608,0.656370)	
0.790896	0.252458	(0.790896,0.252458)	
0.346108	0.0744195	(0.346108,0.074419)	
0.392861	0.265271	(0.392861,0.265271)	
0.526718	0.410513	(0.526718,0.410513)	
0.17298	0.743668	(0.172980,0.743668)	
0.154458	0.38404	(0.154458,0.384040)	
0.229044	0.381976	(0.229044,0.381976)	
0.611771	0.034789	(0.611771,0.034789)	
0.0753366	0.778261	(0.075337,0.778261)	
0.740418	0.561169	(0.740418,0.561169)	
0.884497	0.433802	(0.884497,0.433802)	
0.659152	0.656425	(0.659152,0.656425)	
0.267765	0.486876	(0.267765,0.486876)	
0.10217	0.132496	(0.102170,0.132496)	
0.406918	0.118978	(0.406918,0.118978)	
0.234003	0.421666	(0.234003,0.421666)	
0.859373	0.850499	(0.859373,0.850499)	
0.162266	0.825177	(0.162266,0.825177)	
0.624693	0.628581	(0.624693,0.628581)	
0.320323	0.777272	(0.320323,0.777272)	
0.520697	0.570563	(0.520697,0.570563)	
0.65735	0.569696	(0.657350,0.569696)	
0.708188	0.970809	(0.708188,0.970809)	
0.111395	0.858644	(0.111395,0.858644)	
0.415825	0.106327	(0.415825,0.106327)	
0.188158	0.291749	(0.188158,0.291749)	
0.844816	0.0273746	(0.844816,0.027375)	
0.988392	0.951153	(0.988392,0.951153)	
0.623977	0.823888	(0.623977,0.823888)	
0.662598	0.229752	(0.662598,0.229752)	
0.489441	0.388418	(0.489441,0.388418)	
0.793517	0.726632	(0.793517,0.726632)	
0.483307	0.913124	(0.483307,0.913124)	
0.46337	0.765539	(0.463370,0.765539)	
0.508156	0.864904	(0.508156,0.864904)	
0.930773	0.973539	(0.930773,0.973539)	
0.599263	0.971997	(0.599263,0.971997)	
0.676454	0.788073	(0.676454,0.788073)	
0.546145	0.461252	(0.546145,0.461252)	
0.660507	0.837195	(0.660507,0.837195)	
0.22568	0.932087	(0.225680,0.932087)	
0.627948	0.423445	(0.627948,0.423445)	
0.1193	0.505976	(0.119300,0.505976)	
0.193083	0.165592	(0.193083,0.165592)	
0.348818	0.304872	(0.348818,0.304872)	
0.794082	0.559168	(0.794082,0.559168)	
0.25445	0.584412	(0.254450,0.584412)	
0.832582	0.416587	(0.832582,0.416587)	
0.0829137	0.565193	(0.082914,0.565193)	
0.87291	0.966753	(0.872910,0.966753)	
0.9845	0.895147	(0.984500,0.895147)	
0.473165	0.723956	(0.473165,0.723956)	
0.92035	0.856504	(0.920350,0.856504)	
0.436043	0.983783	(0.436043,0.983783)	
0.642499	0.660544	(0.642499,0.660544)	
0.208758	0.142579	(0.208758,0.142579)	
0.970403	0.101929	(0.970403,0.101929)	
0.114907	0.655168	(0.114907,0.655168)	
0.692556	0.261816	(0.692556,0.261816)	
0.680955	0.797161	(0.680955,0.797161)	
0.567561	0.0357862	(0.567561,0.035786)	
0.718428	0.953001	(0.718428,0.953001)	
0.785773	0.840363	(0.785773,0.840363)	
0.0605703	0.644239	(0.060570,0.644239)	
0.533763	0.632198	(0.533763,0.632198)	
0.0276388	0.195404	(0.027639,0.195404)	
0.835754	0.209659	(0.835754,0.209659)	
0.234995	0.823814	(0.234995,0.823814)	
0.938446	0.900525	(0.938446,0.900525)	
0.267622	0.066983	(0.267622,0.066983)	
0.171	0.0557237	(0.171000,0.055724)	
0.856564	0.124821	(0.856564,0.124821)	
0.416138	0.0418	(0.416138,0.041800)	
0.418299	0.706985	(0.418299,0.706985)	
0.240385	0.569305	(0.240385,0.569305)	
0.396348	0.917725	(0.396348,0.917725)	
0.973371	0.516	(0.973371,0.516000)	
0.593001	0.175989	(0.593001,0.175989)	
0.923168	0.849131	(0.923168,0.849131)	
0.243338	0.0179133	(0.243338,0.017913)	
0.745053	0.656904	(0.745053,0.656904)	
0.687339	0.237906	(0.687339,0.237906)	
0.226379	0.643168	(0.226379,0.643168)	
0.190716	0.335122	(0.190716,0.335122)	
